,SongID,Title,Duration,ArtistID,KeySignature,Tempo,TimeSignature,Loudness,Mode,Artist_Familiarity,Artist_Terms,Danceability,Song_Hotness,Artist_Hotness,Track_ID,Year,clean_term,ArtistLatitude,ArtistLongitude
28,SOBSEGK12A58A7BEBF,Seventeen,129.93261,ARD3LXU1187B9ABFC5,8,129.722,1,-6.458,1,0.7311842304128983,9.0,0.0,0.7048527132188785,0.5492043838770254,TRALSXX128F92F94B0,1979,rock,51.5073219,-0.1276474
30,SOMKMPB12A8C1447D0,God Save the Queen (Live),216.60689,ARD3LXU1187B9ABFC5,9,145.518,4,-3.736,1,0.7311842304128983,9.0,0.0,0.4137398358601097,0.5492043838770254,TRAAPSQ12903CAE86A,1977,rock,51.5073219,-0.1276474
32,SOMKMPB12A8C1447D0,God Save the Queen (Live),216.60689,ARD3LXU1187B9ABFC5,9,145.518,4,-3.736,1,0.7311842304128983,9.0,0.0,0.4137398358601097,0.5492043838770254,TRAAPSQ12903CAE86A,1978,rock,51.5073219,-0.1276474
34,SOMKMPB12A8C1447D0,God Save the Queen (Live),216.60689,ARD3LXU1187B9ABFC5,9,145.518,4,-3.736,1,0.7311842304128983,9.0,0.0,0.4137398358601097,0.5492043838770254,TRAAPSQ12903CAE86A,1979,rock,51.5073219,-0.1276474
36,SOAOWLA12A6D4F7DD4,New York (Dave Goodman Demo Version) (Explicit),186.40934,ARD3LXU1187B9ABFC5,4,133.811,1,-7.654,1,0.7311842304128983,9.0,0.0,0.34580223396532944,0.5492043838770254,TRACQFK128F14658B3,1977,rock,51.5073219,-0.1276474
38,SOAOWLA12A6D4F7DD4,New York (Dave Goodman Demo Version) (Explicit),186.40934,ARD3LXU1187B9ABFC5,4,133.811,1,-7.654,1,0.7311842304128983,9.0,0.0,0.34580223396532944,0.5492043838770254,TRACQFK128F14658B3,1978,rock,51.5073219,-0.1276474
40,SOAOWLA12A6D4F7DD4,New York (Dave Goodman Demo Version) (Explicit),186.40934,ARD3LXU1187B9ABFC5,4,133.811,1,-7.654,1,0.7311842304128983,9.0,0.0,0.34580223396532944,0.5492043838770254,TRACQFK128F14658B3,1979,rock,51.5073219,-0.1276474
42,SOTGSMJ12A6D227171,Chatterbox,189.17832,ARD3LXU1187B9ABFC5,0,152.899,4,-14.683,0,0.7311842304128983,9.0,0.0,0.3135621142479342,0.5492043838770254,TRARBFC128EF3500F8,1977,rock,51.5073219,-0.1276474
44,SOTGSMJ12A6D227171,Chatterbox,189.17832,ARD3LXU1187B9ABFC5,0,152.899,4,-14.683,0,0.7311842304128983,9.0,0.0,0.3135621142479342,0.5492043838770254,TRARBFC128EF3500F8,1978,rock,51.5073219,-0.1276474
46,SOTGSMJ12A6D227171,Chatterbox,189.17832,ARD3LXU1187B9ABFC5,0,152.899,4,-14.683,0,0.7311842304128983,9.0,0.0,0.3135621142479342,0.5492043838770254,TRARBFC128EF3500F8,1979,rock,51.5073219,-0.1276474
48,SODDHDA12AB018CF6D,"I'm A Lazy Sod (Live)""""",126.06649,ARD3LXU1187B9ABFC5,8,130.429,1,-4.871,1,0.7311842304128983,9.0,0.0,0.30416950343527516,0.5492043838770254,TRAXUIZ12903CDF737,1977,rock,51.5073219,-0.1276474
50,SODDHDA12AB018CF6D,"I'm A Lazy Sod (Live)""""",126.06649,ARD3LXU1187B9ABFC5,8,130.429,1,-4.871,1,0.7311842304128983,9.0,0.0,0.30416950343527516,0.5492043838770254,TRAXUIZ12903CDF737,1978,rock,51.5073219,-0.1276474
52,SODDHDA12AB018CF6D,"I'm A Lazy Sod (Live)""""",126.06649,ARD3LXU1187B9ABFC5,8,130.429,1,-4.871,1,0.7311842304128983,9.0,0.0,0.30416950343527516,0.5492043838770254,TRAXUIZ12903CDF737,1979,rock,51.5073219,-0.1276474
54,SOIZHEV12A8C14138B,Yo Quiero Contigo,167.36608,ARWWPKQ11F4C83D8E2,4,122.701,5,-8.383,0,0.6101863097649284,17.0,0.0,,0.3553202621732783,TRBGJOG12903CC3E93,1987,US,52.5170365,13.3888599
55,SOIZHEV12A8C14138B,Yo Quiero Contigo,167.36608,ARWWPKQ11F4C83D8E2,4,122.701,5,-8.383,0,0.6101863097649284,17.0,0.0,,0.3553202621732783,TRBGJOG12903CC3E93,1974,US,52.5170365,13.3888599
56,SOIHELV12AB018684B,Avisame,219.42812,ARWWPKQ11F4C83D8E2,1,187.944,5,-5.65,0,0.3668581509295541,17.0,0.0,,0.3553202621732783,TRAWYDB12903CC4519,1987,US,52.5170365,13.3888599
57,SOIHELV12AB018684B,Avisame,219.42812,ARWWPKQ11F4C83D8E2,1,187.944,5,-5.65,0,0.3668581509295541,17.0,0.0,,0.3553202621732783,TRAWYDB12903CC4519,1974,US,52.5170365,13.3888599
58,SOYBATV12A8C13FF5B,Esto Es Real,219.95057,ARWWPKQ11F4C83D8E2,4,192.013,4,-8.441,1,0.3668581509295541,17.0,0.0,,0.3553202621732783,TRASTBU12903CC3EA8,1987,US,52.5170365,13.3888599
59,SOYBATV12A8C13FF5B,Esto Es Real,219.95057,ARWWPKQ11F4C83D8E2,4,192.013,4,-8.441,1,0.3668581509295541,17.0,0.0,,0.3553202621732783,TRASTBU12903CC3EA8,1974,US,52.5170365,13.3888599
60,SOLFRNH12AB0181C7E,Goody Goody,232.93342,AR137UW1187B98CCBA,5,173.828,4,-19.664,1,0.3947682706531907,12.0,0.0,,0.17541118109433804,TRBGJTK128F93417F6,1969,jazz,36.7282096,-76.5835703
61,SOPHYGD12CF5F890A6,"I've Got The World On A String""""",231.94077,AR137UW1187B98CCBA,2,108.998,4,-18.981,0,0.5069381099929625,12.0,0.0,,0.20985789077050906,TRBCYCI128F93417F5,1969,jazz,36.7282096,-76.5835703
62,SOAOXXE12AB0182517,"Travellin' On""""",267.4673,AR137UW1187B98CCBA,7,161.694,1,-21.115,1,0.3947682706531907,12.0,0.0,,0.17541118109433804,TRAMSLB128F9341812,1969,jazz,36.7282096,-76.5835703
63,SOBZHHO12A8C134565,To Pouli,78.70649,AR4OHL91187B9B2EB9,7,111.661,4,-6.072,1,0.26471398656972184,3.0,0.0,,0.0,TRBGJGI128F427CA73,1974,metal,37.9839412,23.7283052
64,SOBZHHO12A8C134565,To Pouli,78.70649,AR4OHL91187B9B2EB9,7,111.661,4,-6.072,1,0.26471398656972184,3.0,0.0,,0.0,TRBGJGI128F427CA73,1996,metal,37.9839412,23.7283052
66,SOHVJJW12A81C2104F,Edo Pou Ta Leme,163.29098,AR4OHL91187B9B2EB9,0,90.063,4,-8.189,0,0.26471398656972184,3.0,0.0,,0.0,TRBEDTM128F4255119,1974,metal,37.9839412,23.7283052
67,SOHVJJW12A81C2104F,Edo Pou Ta Leme,163.29098,AR4OHL91187B9B2EB9,0,90.063,4,-8.189,0,0.26471398656972184,3.0,0.0,,0.0,TRBEDTM128F4255119,1996,metal,37.9839412,23.7283052
69,SORWMLD12A8C137D1A,Ftei O Erotas,265.37751,AR4OHL91187B9B2EB9,9,124.177,4,-9.28,0,0.26471398656972184,3.0,0.0,,0.0,TRAAZHO128F427C9EC,1974,metal,37.9839412,23.7283052
70,SORWMLD12A8C137D1A,Ftei O Erotas,265.37751,AR4OHL91187B9B2EB9,9,124.177,4,-9.28,0,0.26471398656972184,3.0,0.0,,0.0,TRAAZHO128F427C9EC,1996,metal,37.9839412,23.7283052
72,SOIYTYS12A8C134C86,Den Mporo Na Figo,99.7873,AR4OHL91187B9B2EB9,5,129.972,3,-11.947,0,0.26471398656972184,3.0,0.0,,0.0,TRAIJRM128F4265197,1974,metal,37.9839412,23.7283052
73,SOIYTYS12A8C134C86,Den Mporo Na Figo,99.7873,AR4OHL91187B9B2EB9,5,129.972,3,-11.947,0,0.26471398656972184,3.0,0.0,,0.0,TRAIJRM128F4265197,1996,metal,37.9839412,23.7283052
75,SOHKNPJ12A81C2107E,Fotia Sta Savvatovrada (Live),177.3971,AR4OHL91187B9B2EB9,4,132.076,4,-7.46,0,0.26471398656972184,3.0,0.0,,0.0,TRAWBPY128F425512E,1974,metal,37.9839412,23.7283052
76,SOHKNPJ12A81C2107E,Fotia Sta Savvatovrada (Live),177.3971,AR4OHL91187B9B2EB9,4,132.076,4,-7.46,0,0.26471398656972184,3.0,0.0,,0.0,TRAWBPY128F425512E,1996,metal,37.9839412,23.7283052
78,SOUGGOX12A8C13556D,"Ta Methismena S' Agapo""""",230.63465,AR4OHL91187B9B2EB9,4,123.545,3,-8.558,0,0.26471398656972184,3.0,0.0,,0.0,TRAXYWT128F427C9FD,1974,metal,37.9839412,23.7283052
79,SOUGGOX12A8C13556D,"Ta Methismena S' Agapo""""",230.63465,AR4OHL91187B9B2EB9,4,123.545,3,-8.558,0,0.26471398656972184,3.0,0.0,,0.0,TRAXYWT128F427C9FD,1996,metal,37.9839412,23.7283052
81,SOLPZUJ12A81C21413,Mi Mas Agapas,215.562,AR4OHL91187B9B2EB9,8,109.695,4,-8.07,0,0.26471398656972184,3.0,0.0,,0.0,TRAZLTA128F425510D,1974,metal,37.9839412,23.7283052
82,SOLPZUJ12A81C21413,Mi Mas Agapas,215.562,AR4OHL91187B9B2EB9,8,109.695,4,-8.07,0,0.26471398656972184,3.0,0.0,,0.0,TRAZLTA128F425510D,1996,metal,37.9839412,23.7283052
84,SOQBAQW12AAF3B35B8,Heartbreaker,229.56363,ARWNGWU124207838D7,2,165.904,4,-11.68,1,0.4151403678952871,2.0,0.0,,0.24973967120009483,TRBGJIZ128F92E42BC,1974,rock,51.5073219,-0.1276474
86,SOAMLRD12AAF3B35AC,Too Late,226.87302,ARWNGWU124207838D7,9,165.898,4,-10.003,0,0.4151403678952871,2.0,0.0,,0.24973967120009483,TRBCMYM128F92E42BA,1974,reggae,51.5073219,-0.1276474
88,SOLDWJO12AB0180E63,"Baby_ It's Gonna Cost You""""",197.90322,ARNWJEE1187B98DB44,0,85.515,1,-9.241,1,0.5658198469577149,31.0,0.0,0.0,0.30814406064184013,TRBGJOH128F932C0C4,1963,vocal,48.8588897,2.3200410217200766
89,SOKBIAI12AB0180E97,Smith & Wesson,246.17751,ARNWJEE1187B98DB44,1,96.904,4,-8.613,1,0.5658198469577149,31.0,0.0,0.0,0.30814406064184013,TRAUXCQ128F932C0D9,1963,vocal,48.8588897,2.3200410217200766
90,SOQZNYW12A8C1411B3,Sou Vazo Diskola,209.99791,AR15O341187B9B182C,4,139.423,1,-5.993,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRBGJXW128F42AE7D8,1980,metal,40.6403167,22.9352716
91,SOQZNYW12A8C1411B3,Sou Vazo Diskola,209.99791,AR15O341187B9B182C,4,139.423,1,-5.993,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRBGJXW128F42AE7D8,1979,metal,40.6403167,22.9352716
92,SOQZNYW12A8C1411B3,Sou Vazo Diskola,209.99791,AR15O341187B9B182C,4,139.423,1,-5.993,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRBGJXW128F42AE7D8,2004,metal,40.6403167,22.9352716
93,SOKTBLO12A8C13F309,"Den S'Adiko""""",212.06159,AR15O341187B9B182C,3,116.228,4,-10.263,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRBEYLQ128F42AA7AF,1980,metal,40.6403167,22.9352716
94,SOKTBLO12A8C13F309,"Den S'Adiko""""",212.06159,AR15O341187B9B182C,3,116.228,4,-10.263,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRBEYLQ128F42AA7AF,1979,metal,40.6403167,22.9352716
95,SOKTBLO12A8C13F309,"Den S'Adiko""""",212.06159,AR15O341187B9B182C,3,116.228,4,-10.263,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRBEYLQ128F42AA7AF,2004,metal,40.6403167,22.9352716
96,SOTFFCM12A8C140BC2,Endeka Para,254.69342,AR15O341187B9B182C,1,178.021,4,-8.851,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRAQRSO128F92D5C48,1980,metal,40.6403167,22.9352716
97,SOTFFCM12A8C140BC2,Endeka Para,254.69342,AR15O341187B9B182C,1,178.021,4,-8.851,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRAQRSO128F92D5C48,1979,metal,40.6403167,22.9352716
98,SOTFFCM12A8C140BC2,Endeka Para,254.69342,AR15O341187B9B182C,1,178.021,4,-8.851,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRAQRSO128F92D5C48,2004,metal,40.6403167,22.9352716
99,SODDBMC12A8C142729,Den Thelo Tipota,233.37751,AR15O341187B9B182C,5,120.357,4,-4.777,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRAXQTY128F92D5C64,1980,metal,40.6403167,22.9352716
100,SODDBMC12A8C142729,Den Thelo Tipota,233.37751,AR15O341187B9B182C,5,120.357,4,-4.777,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRAXQTY128F92D5C64,1979,metal,40.6403167,22.9352716
101,SODDBMC12A8C142729,Den Thelo Tipota,233.37751,AR15O341187B9B182C,5,120.357,4,-4.777,0,0.34416504941451576,5.0,0.0,,0.30318955663217473,TRAXQTY128F92D5C64,2004,metal,40.6403167,22.9352716
102,SOSTZFN12AC468E3F1,deine liebe,320.522,ARCSHW51187B9A79D2,9,144.463,4,-6.083,1,0.43424273956967324,10.0,0.0,,0.31105922450193013,TRBGJDX12903CEC5C5,1967,metal,25.22539605,55.164303439883724
103,SOLSWBA12A8C141B9A,Chiove,228.38812,AR7LIU31187B98EF11,8,99.381,1,-16.107,1,0.4048233033081587,30.0,0.0,,0.28805028537557953,TRBGPXH128F428C912,1985,vocal,43.2560802,-79.8728583
104,SOEFKLQ12A8C140047,This Is My Life,252.682,AR7LIU31187B98EF11,7,89.919,3,-11.482,0,0.4048233033081587,30.0,0.0,0.0,0.28805028537557953,TRBGYBT128F428C80B,1985,vocal,43.2560802,-79.8728583
105,SOJDYFO12A8C141BA4,Tu Vuo_ Fa_ L_ Americano,278.33424,AR7LIU31187B98EF11,2,95.508,4,-13.083,1,0.4048233033081587,30.0,0.0,0.2538347361322313,0.28805028537557953,TRAUCKR128F428C915,1985,vocal,43.2560802,-79.8728583
106,SODGUVC12A8C142EBA,"Doggin' Around""""",237.7922,AR7LIU31187B98EF11,5,90.282,3,-9.517,1,0.4048233033081587,30.0,0.0,0.0,0.28805028537557953,TRACKML128F428C905,1985,vocal,43.2560802,-79.8728583
107,SOROWVN12A8C142E90,"Grits Ain't Groceries""""",208.40444,AR7LIU31187B98EF11,8,120.129,4,-5.661,1,0.4048233033081587,30.0,0.0,0.0,0.28805028537557953,TRAWXEA128F428C8F9,1985,vocal,43.2560802,-79.8728583
108,SOPLMNH12A8C141B93,Reginella,261.04118,AR7LIU31187B98EF11,7,90.637,1,-15.268,1,0.4048233033081587,30.0,0.0,0.0,0.28805028537557953,TRASGGB128F428C911,1985,vocal,43.2560802,-79.8728583
109,SOOIPTF12A8C139366,Apagon,185.83465,ARZ4Y2H1187FB3C36F,2,146.051,4,-7.541,1,0.6268213269397005,41.0,0.0,0.5306630301441494,0.3887526034036332,TRBGPZX128F4285105,1977,Latin,41.3828939,2.1774322
110,SOUWQYP12A8C1373F2,Exiliado En El Lavabo,195.83955,ARZ4Y2H1187FB3C36F,11,142.869,4,-12.359,0,0.6268213269397005,41.0,0.0,0.5466354885721183,0.3887526034036332,TRANJWP128F428560C,1977,Latin,41.3828939,2.1774322
111,SOARFDK12AB01826E6,Me Falta El Aliento,226.5073,ARZ4Y2H1187FB3C36F,0,170.739,3,-4.872,1,0.6268213269397005,41.0,0.0,,0.3887526034036332,TRASRVD128F933624A,1977,Latin,41.3828939,2.1774322
112,SOHNJQL12AB018CC5C,Rude Bwoy Love (feat. Dj Fly_ Dj Traxx_ T.Williams),251.55873,ARPGCHN1187B9A2831,7,173.974,4,-5.794,1,0.5954092398478043,33.0,0.0,,0.4126997646481193,TRBGPSV12903CA9C25,1992,reggae,29.9759983,-90.0782127
114,SOHNJQL12AB018CC5C,Rude Bwoy Love (feat. Dj Fly_ Dj Traxx_ T.Williams),251.55873,ARPGCHN1187B9A2831,7,173.974,4,-5.794,1,0.5954092398478043,33.0,0.0,,0.4126997646481193,TRBGPSV12903CA9C25,1974,reggae,29.9759983,-90.0782127
116,SOHNHEF12A8AE47210,I Only Want To Love You,184.34567,ARPGCHN1187B9A2831,10,124.556,3,-12.041,1,0.5954092398478043,33.0,0.0,0.26586104921065007,0.4126997646481193,TRAOCUF128F4238DC7,1992,reggae,29.9759983,-90.0782127
118,SOHNHEF12A8AE47210,I Only Want To Love You,184.34567,ARPGCHN1187B9A2831,10,124.556,3,-12.041,1,0.5954092398478043,33.0,0.0,0.26586104921065007,0.4126997646481193,TRAOCUF128F4238DC7,1974,reggae,29.9759983,-90.0782127
120,SOEZDOH12A8AE4787A,Des Vôtres,344.21506,ARQDTOS12086C11443,5,153.939,4,-9.985,1,0.38272001702382835,4.0,0.0,,0.30510121707452625,TRBGPYK128F42796E1,1974,France,25.22331675,55.15941464826079
121,SOLBVSR12AB0183E1A,18 De Noviembre,171.98975,ARJTAZU1187B990051,2,181.002,1,-8.002,1,0.4339539951668355,10.0,0.0,0.2998774882739778,0.31470046977659827,TRBGGOT128F932DC65,1974,vocal,10.5060934,-66.9146008
122,SOUUQXL12A8C1339FE,One More Time (Kennedy Center Homecoming Version),159.26812,AR1IY711187B9B0B50,0,80.945,7,-10.599,0,0.6069013824965412,22.0,0.0,0.0,0.43893284954222317,TRBGGTE128F424ECBC,1999,rock,53.4071991,-2.99168
123,SOELHNO12A8C13F09F,Ela Edo Kardia Mou,228.33587,ARKEZNY1187B9B7F6C,3,155.979,4,-6.252,0,0.3963040673712416,4.0,0.0,,0.0,TRBGGUL128F42ADE30,1929,metal,35.129393050000004,33.22978295894309
124,SOELHNO12A8C13F09F,Ela Edo Kardia Mou,228.33587,ARKEZNY1187B9B7F6C,3,155.979,4,-6.252,0,0.3963040673712416,4.0,0.0,,0.0,TRBGGUL128F42ADE30,1968,metal,35.129393050000004,33.22978295894309
125,SOELHNO12A8C13F09F,Ela Edo Kardia Mou,228.33587,ARKEZNY1187B9B7F6C,3,155.979,4,-6.252,0,0.3963040673712416,4.0,0.0,,0.0,TRBGGUL128F42ADE30,1974,metal,35.129393050000004,33.22978295894309
126,SOBMYTL12A8C134F0E,Magiki Vradia,230.21669,ARKEZNY1187B9B7F6C,1,109.974,4,-6.321,1,0.3963040673712416,4.0,0.0,,0.0,TRBGQFB128F427FD09,1929,metal,35.129393050000004,33.22978295894309
127,SOBMYTL12A8C134F0E,Magiki Vradia,230.21669,ARKEZNY1187B9B7F6C,1,109.974,4,-6.321,1,0.3963040673712416,4.0,0.0,,0.0,TRBGQFB128F427FD09,1968,metal,35.129393050000004,33.22978295894309
128,SOBMYTL12A8C134F0E,Magiki Vradia,230.21669,ARKEZNY1187B9B7F6C,1,109.974,4,-6.321,1,0.3963040673712416,4.0,0.0,,0.0,TRBGQFB128F427FD09,1974,metal,35.129393050000004,33.22978295894309
129,SOQUHIF12A8C131AE9,Oute Mia Fora,237.81832,ARKEZNY1187B9B7F6C,0,160.001,4,-7.788,1,0.3963040673712416,4.0,0.0,,0.0,TRAHYRS128F4262BCE,1929,metal,35.129393050000004,33.22978295894309
130,SOQUHIF12A8C131AE9,Oute Mia Fora,237.81832,ARKEZNY1187B9B7F6C,0,160.001,4,-7.788,1,0.3963040673712416,4.0,0.0,,0.0,TRAHYRS128F4262BCE,1968,metal,35.129393050000004,33.22978295894309
131,SOQUHIF12A8C131AE9,Oute Mia Fora,237.81832,ARKEZNY1187B9B7F6C,0,160.001,4,-7.788,1,0.3963040673712416,4.0,0.0,,0.0,TRAHYRS128F4262BCE,1974,metal,35.129393050000004,33.22978295894309
132,SOZLAER12A58A7CA05,The Witching Hour,262.79138,ARJ9DSA1187B990E00,5,172.909,4,-5.549,0,0.6268031063273776,48.0,0.0,0.0,0.4052346907874076,TRBGLQN128F92E2637,1965,rock,53.2606635,-2.1255158
133,SOZLAER12A58A7CA05,The Witching Hour,262.79138,ARJ9DSA1187B990E00,5,172.909,4,-5.549,0,0.6268031063273776,48.0,0.0,0.0,0.4052346907874076,TRBGLQN128F92E2637,1965,rock,51.5073219,-0.1276474
135,SOBCBQB12A8AE47374,Looking Back,157.20444,ARJ9DSA1187B990E00,0,131.198,1,-13.454,1,0.6268031063273776,48.0,0.0,0.6552508218901286,0.4052346907874076,TRBCUUU128F425CA73,1965,blues,53.2606635,-2.1255158
136,SOBCBQB12A8AE47374,Looking Back,157.20444,ARJ9DSA1187B990E00,0,131.198,1,-13.454,1,0.6268031063273776,48.0,0.0,0.6552508218901286,0.4052346907874076,TRBCUUU128F425CA73,1965,blues,51.5073219,-0.1276474
138,SOGPDBF12A6D4F7FAB,Blues City Shake Down,142.15791,ARJ9DSA1187B990E00,4,133.072,1,-5.063,1,0.6268031063273776,48.0,0.0,,0.4052346907874076,TRAJMDE128F14898B2,1965,rock,53.2606635,-2.1255158
139,SOGPDBF12A6D4F7FAB,Blues City Shake Down,142.15791,ARJ9DSA1187B990E00,4,133.072,1,-5.063,1,0.6268031063273776,48.0,0.0,,0.4052346907874076,TRAJMDE128F14898B2,1965,rock,51.5073219,-0.1276474
141,SOYPQHV12A67ADF698,Now I Got A Woman,264.6722,ARJ9DSA1187B990E00,10,147.128,4,-7.611,1,0.6268031063273776,48.0,0.0,0.36348849939801875,0.4052346907874076,TRAJYKE128F92E25D7,1965,blues,53.2606635,-2.1255158
142,SOYPQHV12A67ADF698,Now I Got A Woman,264.6722,ARJ9DSA1187B990E00,10,147.128,4,-7.611,1,0.6268031063273776,48.0,0.0,0.36348849939801875,0.4052346907874076,TRAJYKE128F92E25D7,1965,blues,51.5073219,-0.1276474
144,SODRNQF12AB0182322,"I'm Your Witchdoctor""""",129.48853,ARJ9DSA1187B990E00,2,117.73,5,-6.316,1,0.6268031063273776,48.0,0.0,,0.4052346907874076,TRAPKJT128F9311D9E,1965,rock,53.2606635,-2.1255158
145,SODRNQF12AB0182322,"I'm Your Witchdoctor""""",129.48853,ARJ9DSA1187B990E00,2,117.73,5,-6.316,1,0.6268031063273776,48.0,0.0,,0.4052346907874076,TRAPKJT128F9311D9E,1965,rock,51.5073219,-0.1276474
147,SOWJALY12A6D4F837F,All Your Love,214.69995,ARJ9DSA1187B990E00,2,107.458,4,-8.441,0,0.6268031063273776,48.0,0.0,,0.4052346907874076,TRALKHT128F148833B,1965,rock,53.2606635,-2.1255158
148,SOWJALY12A6D4F837F,All Your Love,214.69995,ARJ9DSA1187B990E00,2,107.458,4,-8.441,0,0.6268031063273776,48.0,0.0,,0.4052346907874076,TRALKHT128F148833B,1965,rock,51.5073219,-0.1276474
150,SOZQVBA12A8C13CAAD,"Nature's Disappearing""""",292.91057,ARJ9DSA1187B990E00,6,89.949,4,-9.11,0,0.6268031063273776,48.0,0.0,0.5237591517010592,0.4052346907874076,TRAQVDI128F42969C8,1965,rock,53.2606635,-2.1255158
151,SOZQVBA12A8C13CAAD,"Nature's Disappearing""""",292.91057,ARJ9DSA1187B990E00,6,89.949,4,-9.11,0,0.6268031063273776,48.0,0.0,0.5237591517010592,0.4052346907874076,TRAQVDI128F42969C8,1965,rock,51.5073219,-0.1276474
153,SOKWXEW12A6D4F7F9E,Crawling Up A Hill - version 2 - mono_ live,142.602,ARJ9DSA1187B990E00,8,166.238,1,-4.62,0,0.6268031063273776,48.0,0.0,,0.4052346907874076,TRACMIV128F14898A3,1965,blues,53.2606635,-2.1255158
154,SOKWXEW12A6D4F7F9E,Crawling Up A Hill - version 2 - mono_ live,142.602,ARJ9DSA1187B990E00,8,166.238,1,-4.62,0,0.6268031063273776,48.0,0.0,,0.4052346907874076,TRACMIV128F14898A3,1965,blues,51.5073219,-0.1276474
